sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid
Male,69,Greater than 45,Non Caucasian,0,0,0,0,F,0
Male,34,25 - 45,Non Caucasian,0,0,0,0,F,1
Male,24,Less than 25,Non Caucasian,0,0,1,4,F,1
Male,23,Less than 25,Non Caucasian,0,1,0,1,F,0
Male,43,25 - 45,Non Caucasian,0,0,0,2,F,0
Male,44,25 - 45,Non Caucasian,0,0,0,0,M,0
Male,41,25 - 45,Caucasian,0,0,0,14,F,1
Male,43,25 - 45,Non Caucasian,0,0,0,3,F,0
Female,39,25 - 45,Caucasian,0,0,0,0,M,0
Male,21,Less than 25,Caucasian,0,0,0,1,F,1
Male,27,25 - 45,Caucasian,0,0,0,0,F,0
Male,23,Less than 25,Non Caucasian,0,0,0,3,M,1
Female,37,25 - 45,Caucasian,0,0,0,0,M,0
Male,41,25 - 45,Non Caucasian,0,0,0,0,F,0
Female,47,Greater than 45,Caucasian,0,0,0,1,F,1
Male,31,25 - 45,Non Caucasian,0,0,0,7,F,1
Male,37,25 - 45,Non Caucasian,0,0,0,0,M,0
Male,25,25 - 45,Non Caucasian,0,0,0,3,F,0
Male,31,25 - 45,Caucasian,0,0,0,6,F,1
Male,31,25 - 45,Caucasian,0,0,0,5,F,1
Male,64,Greater than 45,Non Caucasian,0,0,0,13,F,1
Male,21,Less than 25,Non Caucasian,0,0,0,1,F,1
Male,27,25 - 45,Caucasian,0,0,0,0,M,1
Female,21,Less than 25,Caucasian,0,0,0,0,F,0
Male,24,Less than 25,Non Caucasian,0,0,0,1,F,1
Male,43,25 - 45,Caucasian,0,0,0,1,M,0
Male,32,25 - 45,Non Caucasian,0,0,0,0,M,0
Male,27,25 - 45,Non Caucasian,0,0,0,8,F,1
Female,36,25 - 45,Caucasian,0,0,0,3,F,0
Male,26,25 - 45,Non Caucasian,0,0,1,5,F,1
Male,33,25 - 45,Non Caucasian,0,0,0,0,F,1
Male,30,25 - 45,Caucasian,0,0,0,9,F,1
Male,32,25 - 45,Non Caucasian,0,0,0,4,F,1
Male,55,Greater than 45,Caucasian,0,0,0,0,F,0
Male,49,Greater than 45,Non Caucasian,0,0,0,7,F,1
Male,26,25 - 45,Caucasian,0,0,2,6,M,0
Female,33,25 - 45,Caucasian,0,0,0,4,M,1
Male,24,Less than 25,Caucasian,0,0,0,1,M,1
Male,34,25 - 45,Non Caucasian,2,1,3,21,F,1
Male,29,25 - 45,Caucasian,0,0,0,0,M,0
Female,21,Less than 25,Non Caucasian,0,0,0,2,F,0
Male,51,Greater than 45,Non Caucasian,0,0,0,2,M,0
Male,29,25 - 45,Caucasian,0,0,0,2,M,1
Female,51,Greater than 45,Non Caucasian,0,0,0,7,F,0
Male,29,25 - 45,Non Caucasian,0,0,0,0,F,1
Male,25,25 - 45,Caucasian,0,0,0,9,M,1
Male,35,25 - 45,Non Caucasian,1,0,4,13,F,1
Male,49,Greater than 45,Caucasian,0,0,0,0,M,0
Male,34,25 - 45,Non Caucasian,0,0,0,4,M,1
Male,29,25 - 45,Non Caucasian,0,0,0,0,F,0
Male,29,25 - 45,Caucasian,0,0,0,1,F,1
Female,28,25 - 45,Non Caucasian,0,0,0,0,F,0
Male,48,Greater than 45,Caucasian,0,0,0,20,F,1
